Concepto;Codigo_Fuente;Fuente_Ingresos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
Impuesto a la Renta;INT;Internos;4119614055;3134332809;5012422930;6857183714;3405794062;2856324410;2846822655;2840048797;3026086273;3349959293;3382678018;3184129414;44015396430
Impuesto General a las Ventas;INT;Internos;4058211280;2946150867;2649862906;3078562447;2975635551;3031104857;3137275999;3100645615;3079350266;3160563231;3272923389;3401415642;37891702049
Impuesto Selectivo al Consumo;INT;Internos;471972283.9;379184098.5;329311901;402349470;356552335.1;393531507;391503443;451268126.1;450355277.9;433714347.8;457614278;451697061.6;4969054130
Impuesto Extraordinario de Promoción Turística;INT;Internos;17342933;16494258.01;15546000.99;16964489.05;16477128;17633311.03;16672442;18816459.02;19708611.99;18567394.01;19652619.03;16868124.05;210743770.2
Impuesto a las Transacciones Financieras;INT;Internos;19566388.01;18403641.99;16233584.01;18210001;18997217;19209824.01;17538689;18947517.05;18590696;18816492;20733863;18964781;224212694.1
Impuesto Temporal a los Activos Netos;INT;Internos;22628115.82;7699252.87;11818458.05;1032025999;507180922.5;502149021.6;507276170.8;500712726.2;495371612.2;499360711.9;510070694.3;580006779.7;5176300464
Impuesto Especial a la Minería;INT;Internos;6390.99;59328728;78104379.98;-;73117730.98;66289860.98;-;34078951.96;125403339;573440.98;74017821.01;34133329.98;545053973.9
Fraccionamientos;INT;Internos;126594983.7;126581175.4;109566399.8;424645505.2;126768314.3;200928800.6;129592883.3;116642145.1;117960176.4;120799654.5;112810110.5;130089557.1;1842979706
Impuesto Extraordinario de Solidaridad ;INT;Internos;36722;51515.01;11484;10046;10618;35074.01;16167.01;9302.01;6585.01;9246.01;4850.01;277672;479281.07
Régimen Único Simplificado;INT;Internos;12145954.93;10700429.19;11168656.43;11005721.34;11272570.67;10331674.85;11224101.16;11508117.62;11183670.97;11461262.37;11117774.68;11428808.4;134548742.6
Multas;INT;Internos;52104710.84;172082338.6;62046427.43;145187079.9;69858252.83;96788207.72;70258727.3;63411525.19;119303381.7;164463615.5;203435091.4;193606860.5;1412546219
Juegos de Casino y Tragamonedas;INT;Internos;29291530.11;24893253.1;25597727.11;23135789;25644804.08;23933190.05;27544146.99;29327893.96;27858108.09;25090316.09;24282728.98;23140602.1;309740089.7
Impuesto al Rodaje;INT;Internos;38681101;35026822;30951207;36283953;40011361;39841911;39083813;41220655;39508684;35129334;44518696;35513107;455770644
Otros ;INT;Internos;98999750.63;94507512.31;74053753.86;42576291.69;75849374.86;74392480.92;86344389.31;72358778.82;93507554.52;109402074.4;89784606.78;198309611.1;1110086179
Impuestos a la Importación;ADU;Aduaneros;120509524.4;123999000.4;120588524.8;100940188.3;117569469.4;111361808.8;110657666.8;117671578.3;129257372.5;126586612.4;123023058.7;122311825.7;1424476630
Impuesto General a las Ventas ;ADU;Aduaneros;2168905387;2001124693;1993342882;2065807773;2256440838;2069090122;1996196401;2199861642;2323749566;2177015641;2172908956;2188117958;25612561857
Impuesto Selectivo al Consumo;ADU;Aduaneros;288923975.6;286614153.4;271586247.5;274903710.1;265832132.3;351326663.6;207973615.2;241514060.2;258666776.1;303009892.3;249659094.7;247392662.7;3247402984
Otros;ADU;Aduaneros;12226543.18;9733427.715;7803589.608;20215541.57;7279193.476;14765739.19;52683098.15;13411706.63;12300646.77;19599346.56;41905982.14;14383217.9;226308032.9
Contribución al Seguro Social de Salud (EsSalud);CON;Contribuciones Sociales;919902637;895409062.4;903636318.3;942588682.8;956943903.9;892448572.2;956116253.2;959509320;931648923;964389080;941294569.3;992557721.3;11256445043
Contribución al Sistema Nacional de Pensiones (ONP);CON;Contribuciones Sociales;323446761.1;323720162.5;320787987.4;326092008.2;347401837.7;315601820.4;352885251.3;350010697.3;344489468.5;354378134.7;345257408.7;369620140.2;4073691678
Contribución Solidaria para la Asistencia Previsional ;CON;Contribuciones Sociales;16013653.95;6976607.59;20901451.13;43869142.75;42717772.72;13342514.29;10812529.44;5141688.11;3235849.61;5292653.58;3180663.77;7278268.03;178762795
Regalías Mineras;NTR;Ingresos No Tributarios;11426939.99;26161915.02;20050967;22847695.1;221788459;32631771.03;43166267;71771;117698047;35981994;25015386.03;29613137.97;586454350.1
Regalías  Ley Nº 29789;NTR;Ingresos No Tributarios;20681;88492704.05;116785988.9;339749;88141457.06;103817005;-;41759061.13;194035484.9;6061559.02;123990133.1;119930199;883374022.2
Gravamen Especial a la Minería;NTR;Ingresos No Tributarios;-;2;22118126.96;28;-;8006753;-;-;5667795;19;-;4354784.98;40147508.94
Otros Ingresos No Tributarios 4/;NTR;Ingresos No Tributarios;320696.02;284184.01;293708.97;1153889.03;376073;272419.98;276908;265751.96;360863.99;298664;396306.94;317934;4617399.9
